icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,fetch_time
501c16,CFG7AM  ,Croatia,1764668078,1764668078,6.7587,46.8445,10668.0,False,219.26,232.92,-0.33,,10706.1,6663,False,0,2025-12-02 09:34:39+00:00
501c42,CTN416  ,Croatia,1764668078,1764668078,13.079,48.1867,10965.18,False,238.67,316.05,-0.33,,10957.56,1000,False,0,2025-12-02 09:34:39+00:00
484cc2,KLM1850 ,Kingdom of the Netherlands,1764668078,1764668078,10.7821,49.8041,10957.56,False,215.02,328.4,4.55,,10965.18,1000,False,0,2025-12-02 09:34:39+00:00
484cc3,KLM980  ,Kingdom of the Netherlands,1764668078,1764668078,4.7293,52.5535,883.92,False,87.02,182.37,-0.98,,845.82,2003,False,0,2025-12-02 09:34:39+00:00
424505,VQBMS   ,United Kingdom,1764668074,1764668074,16.5357,48.1265,,True,3.09,163.12,,,,,False,0,2025-12-02 09:34:39+00:00
501c3b,CTN56E  ,Croatia,1764668071,1764668078,4.4853,50.9017,,True,0.0,67.5,,,,,False,0,2025-12-02 09:34:39+00:00
501c49,CTN436R ,Croatia,1764668078,1764668078,11.9664,48.3571,1089.66,False,97.72,264.26,-5.53,,1158.24,1000,False,0,2025-12-02 09:34:39+00:00
484cb7,KLM1597 ,Kingdom of the Netherlands,1764667972,1764667973,4.7767,52.3174,,True,10.29,33.75,,,,,False,0,2025-12-02 09:34:39+00:00
49d4af,AAO25   ,Czech Republic,1764668078,1764668078,15.7785,48.4123,9113.52,False,208.61,236.98,8.13,,9105.9,1000,False,0,2025-12-02 09:34:39+00:00
4ab561,SAS749  ,Sweden,1764668078,1764668078,21.0618,59.6023,4876.8,False,127.4,274.17,-0.33,,4853.94,2534,False,0,2025-12-02 09:34:39+00:00
4ab565,SAS1136 ,Sweden,1764668077,1764668078,15.8508,56.8372,4328.16,False,117.14,28.03,4.23,,4335.78,,False,0,2025-12-02 09:34:39+00:00
4866c1,TFL381  ,Kingdom of the Netherlands,1764668078,1764668078,0.5838,53.0122,11925.3,False,252.54,99.62,-11.38,,11658.6,1172,False,0,2025-12-02 09:34:39+00:00
009859,ZTHEY   ,South Africa,1764668077,1764668078,1.8895,51.2445,1150.62,False,44.74,261.4,0.33,,1112.52,,False,0,2025-12-02 09:34:39+00:00
3de0bf,DHFJB   ,Germany,1764668078,1764668078,6.4621,51.1643,182.88,False,36.54,212.35,1.3,,190.5,7000,False,0,2025-12-02 09:34:39+00:00
501c4a,CTN25F  ,Croatia,1764668078,1764668078,10.6131,46.6696,10972.8,False,224.14,292.68,0.0,,10980.42,1000,False,0,2025-12-02 09:34:39+00:00
43c6f4,TARTN29 ,United Kingdom,1764668078,1764668078,-0.1006,55.8673,6096.0,False,173.88,180.17,-0.33,,5867.4,1452,False,0,2025-12-02 09:34:39+00:00
405ee1,BAW580M ,United Kingdom,1764668078,1764668078,8.6183,45.3098,1912.62,False,115.74,64.46,-5.53,,1996.44,5247,False,0,2025-12-02 09:34:39+00:00
ae03f9,DUKE75  ,United States,1764667977,1764667977,8.3289,50.0459,,True,0.0,8.44,,,,,False,0,2025-12-02 09:34:39+00:00
44ccc8,BEL38K  ,Belgium,1764667794,1764667797,4.4885,50.9047,,True,0.0,154.69,,,,,False,0,2025-12-02 09:34:39+00:00
4d021d,SVW74VI ,Luxembourg,1764668078,1764668078,3.1542,48.6693,11582.4,False,248.3,332.21,0.0,,11468.1,4060,False,0,2025-12-02 09:34:39+00:00
750266,MAS6126 ,Malaysia,1764668078,1764668078,13.1725,49.9617,11582.4,False,240.08,293.49,0.0,,11582.4,3250,False,0,2025-12-02 09:34:39+00:00
48418b,KLM75C  ,Kingdom of the Netherlands,1764667795,1764668078,5.9801,52.3066,9204.96,False,213.25,82.51,10.73,,6766.56,1000,False,0,2025-12-02 09:34:39+00:00
48418a,KLM1579 ,Kingdom of the Netherlands,1764668078,1764668078,-6.1648,43.0764,11887.2,False,220.04,211.42,0.0,,11742.42,2123,False,0,2025-12-02 09:34:39+00:00
48418c,KLM87R  ,Kingdom of the Netherlands,1764668078,1764668078,7.4786,54.1035,10668.0,False,271.38,33.48,0.0,,10584.18,0165,False,0,2025-12-02 09:34:39+00:00
40668c,GWPDB   ,United Kingdom,1764668078,1764668078,-2.5562,51.6015,449.58,False,73.77,52.65,0.65,,373.38,,False,0,2025-12-02 09:34:39+00:00
600804,AHY071  ,Azerbaijan,1764668078,1764668078,16.9368,47.9253,2849.88,False,140.78,293.47,-4.23,,2903.22,1000,False,0,2025-12-02 09:34:39+00:00
43bfd2,FIRE 4  ,United Kingdom,1764667960,1764667960,-0.1653,51.1562,,True,2.57,59.06,,,,,False,0,2025-12-02 09:34:39+00:00
4d029f,JFA89L  ,Luxembourg,1764668078,1764668078,5.434,50.6059,3924.3,False,150.55,325.44,-9.1,,3870.96,5734,False,0,2025-12-02 09:34:39+00:00
43c6b8,RRR6230 ,United Kingdom,1764668078,1764668078,17.9605,50.9701,10066.02,False,219.22,104.26,0.0,,10066.02,4634,False,0,2025-12-02 09:34:39+00:00
461fa3,FIN8PY  ,Finland,1764668053,1764668053,8.5561,47.4552,,True,0.0,95.62,,,,3012,False,0,2025-12-02 09:34:39+00:00
43c6f3,RRR2302 ,United Kingdom,1764668078,1764668078,14.8641,49.252,12496.8,False,237.26,107.02,0.0,,12435.84,3405,False,0,2025-12-02 09:34:39+00:00
461fa0,FIN1699 ,Finland,1764668078,1764668078,8.0942,47.935,10660.38,False,223.31,215.81,-0.33,,10683.24,3573,False,0,2025-12-02 09:34:39+00:00
40666b,EZY31JR ,United Kingdom,1764668078,1764668078,18.3935,50.5752,7299.96,False,144.74,92.85,-8.45,,7338.06,4717,False,0,2025-12-02 09:34:39+00:00
40799c,CFE8WH  ,United Kingdom,1764668076,1764668078,4.7105,52.3468,53.34,False,29.36,183.01,0.0,,45.72,2035,False,0,2025-12-02 09:34:39+00:00
40666d,EZY71XV ,United Kingdom,1764668078,1764668078,10.6464,47.6052,11277.6,False,217.28,118.26,0.0,,11292.84,4733,False,0,2025-12-02 09:34:39+00:00
40799b,CFE2GH  ,United Kingdom,1764668078,1764668078,-0.0394,52.2622,7559.04,False,184.04,139.99,-9.75,,7360.92,1175,False,0,2025-12-02 09:34:39+00:00
406674,BAW19LX ,United Kingdom,1764668077,1764668078,4.1973,51.0046,10469.88,False,251.39,314.09,11.05,,10378.44,3507,False,0,2025-12-02 09:34:39+00:00
406673,EZY891X ,United Kingdom,1764668078,1764668078,-3.7773,46.0183,11894.82,False,209.73,185.21,0.0,,11681.46,7501,False,0,2025-12-02 09:34:39+00:00
